Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,274.649994,274.880005,260.000000,261.950012,261.950012,17944500
2018-10-08,264.519989,267.760010,249.000000,250.559998,250.559998,13472700
2018-10-09,255.250000,266.769989,253.300003,262.799988,262.799988,12060600
2018-10-10,264.609985,265.510010,247.770004,256.880005,256.880005,12815300
2018-10-11,257.529999,262.250000,249.029999,252.229996,252.229996,8167700
2018-10-12,261.000000,261.989990,252.009995,258.779999,258.779999,7201400
2018-10-15,259.059998,263.279999,254.539993,259.589996,259.589996,6200000
2018-10-16,265.700012,277.380005,262.239990,276.589996,276.589996,9526400
2018-10-17,282.399994,282.700012,265.799988,271.779999,271.779999,8655500
2018-10-18,269.290009,271.000000,263.000000,263.910004,263.910004,5421200
2018-10-19,267.390015,269.660004,253.500000,260.000000,260.000000,9375500
2018-10-22,260.679993,261.859985,252.589996,260.950012,260.950012,5600300
2018-10-23,263.869995,297.929993,262.100006,294.140015,294.140015,19027800
2018-10-24,301.049988,304.440002,285.730011,288.500000,288.500000,20058300
2018-10-25,317.220001,321.000000,301.010010,314.859985,314.859985,20840700
2018-10-26,308.250000,339.899994,306.649994,330.899994,330.899994,27425500
2018-10-29,337.470001,347.160004,326.500000,334.850006,334.850006,14486000
2018-10-30,328.390015,337.899994,322.260010,329.899994,329.899994,9126700
2018-10-31,332.540009,342.000000,329.100006,337.320007,337.320007,7624300
2018-11-01,338.260010,347.839996,334.730011,344.279999,344.279999,8000100
2018-11-02,343.739990,349.200012,340.910004,346.410004,346.410004,7803900
2018-11-05,340.500000,340.827301,330.140015,338.369995,338.369995,4626332
